model_name,auroc,accuracy,specificity,sensibility,precision,f1_score
kNN,0.9185185185185185,0.8285714285714286,0.7777777777777778,0.8666666666666667,0.8387096774193549,0.8524590163934426
RF,0.9498148148148149,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.896551724137931,0.8813559322033899
Bagging,0.942962962962963,0.8857142857142857,0.8888888888888888,0.8833333333333333,0.9137931034482759,0.8983050847457628
BN,0.9181481481481482,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.9090909090909091,0.8695652173913043
J48-DT,0.838888888888889,0.8380952380952381,0.8444444444444444,0.8333333333333334,0.8771929824561403,0.8547008547008548
Part,0.8329629629629629,0.780952380952381,0.5333333333333333,0.9666666666666667,0.7341772151898734,0.8345323741007195
MLP,0.9540740740740741,0.9142857142857143,0.8222222222222222,0.9833333333333333,0.8805970149253731,0.9291338582677166
FURIA,0.9255555555555556,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.9090909090909091,0.8695652173913043
Ridor,0.8329629629629629,0.780952380952381,0.5333333333333333,0.9666666666666667,0.7341772151898734,0.8345323741007195
LogitBoost,0.6874074074074074,0.638095238095238,0.4444444444444444,0.7833333333333333,0.6527777777777778,0.7121212121212122
AdaBoost,0.8111111111111111,0.8095238095238095,0.8222222222222222,0.8,0.8571428571428571,0.8275862068965518
BLR,0.9507407407407408,0.8666666666666667,0.8444444444444444,0.8833333333333333,0.8833333333333333,0.8833333333333333
SVM,0.7809259259259259,0.7333333333333333,0.7777777777777778,0.7,0.8076923076923077,0.75
MultiBoostAB,0.9035185185185185,0.8666666666666667,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.888888888888889
NBN,0.9181481481481482,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.9090909090909091,0.8695652173913043
Stacking,0.8138888888888889,0.819047619047619,0.7777777777777778,0.85,0.8360655737704918,0.8429752066115703
Vote,0.8329629629629629,0.780952380952381,0.5333333333333333,0.9666666666666667,0.7341772151898734,0.8345323741007195
XGBoost,0.9411111111111111,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.896551724137931,0.8813559322033899
DNNs,0.9540740740740741,0.9142857142857143,0.8222222222222222,0.9833333333333333,0.8805970149253731,0.9291338582677166
ID3,0.8329629629629629,0.780952380952381,0.5333333333333333,0.9666666666666667,0.7341772151898734,0.8345323741007195
CART,0.838888888888889,0.8380952380952381,0.8444444444444444,0.8333333333333334,0.8771929824561403,0.8547008547008548
